prob_threshold,Metric,Values
0.1,F1,0.774799267
0.15,F1,0.816032306
0.2,F1,0.841411279
0.25,F1,0.841411279
0.3,F1,0.841411279
0.35,F1,0.838139586
0.4,F1,0.829312347
0.45,F1,0.847831487
0.5,F1,0.861533101
0.55,F1,0.8531673
0.6,F1,0.826584259
0.65,F1,0.836102976
0.7,F1,0.837352976
0.75,F1,0.837352976
0.8,F1,0.821612235
0.85,F1,0.733730169
0.9,F1,0.591581356
0.95,F1,0.450204689
0.1,Balanced Accuracy,0.716360294
0.15,Balanced Accuracy,0.784191176
0.2,Balanced Accuracy,0.822426471
0.25,Balanced Accuracy,0.822426471
0.3,Balanced Accuracy,0.822426471
0.35,Balanced Accuracy,0.819485294
0.4,Balanced Accuracy,0.816176471
0.45,Balanced Accuracy,0.843198529
0.5,Balanced Accuracy,0.860845588
0.55,Balanced Accuracy,0.854963235
0.6,Balanced Accuracy,0.843198529
0.65,Balanced Accuracy,0.854779412
0.7,Balanced Accuracy,0.857720588
0.75,Balanced Accuracy,0.857720588
0.8,Balanced Accuracy,0.848897059
0.85,Balanced Accuracy,0.786213235
0.9,Balanced Accuracy,0.708639706
0.95,Balanced Accuracy,0.651654412
0.1,Precision,0.648243868
0.15,Precision,0.732150134
0.2,Precision,0.769585498
0.25,Precision,0.769585498
0.3,Precision,0.769585498
0.35,Precision,0.768156926
0.4,Precision,0.789377022
0.45,Precision,0.836032595
0.5,Precision,0.859971989
0.55,Precision,0.863113014
0.6,Precision,0.916905393
0.65,Precision,0.941960678
0.7,Precision,0.950849567
0.75,Precision,0.950849567
0.8,Precision,0.950849567
0.85,Precision,0.939529915
0.9,Precision,0.944155844
0.95,Precision,0.983333333
0.1,Recall,0.970220588
0.15,Recall,0.934558824
0.2,Recall,0.934558824
0.25,Recall,0.934558824
0.3,Recall,0.934558824
0.35,Recall,0.928676471
0.4,Recall,0.886764706
0.45,Recall,0.869117647
0.5,Recall,0.869117647
0.55,Recall,0.851470588
0.6,Recall,0.76875
0.65,Recall,0.7625
0.7,Recall,0.756617647
0.75,Recall,0.756617647
0.8,Recall,0.738970588
0.85,Recall,0.613602941
0.9,Recall,0.446691176
0.95,Recall,0.309191176
